enc_input,dec_input
ये हार्मोन चयापचय की दर और कई अन्य शारीरिक तंत्रों के विकास और उनके कार्य की दर को भी प्रभावित करते हैं.,ये हार्मोन चयापचय की दर और कई अन्य शारीरिक तंत्रों के विकास और उनके कार्यों की दर को भी प्रभावित करते हैं.
18 वीं सदी के मध्य तक किले मुगल शासकों के कब्जे में रहे.,18 वीं सदी के मध्य तक किला मुगल शासकों के कब्जे में रहे.
यह दक्षिण कन्नड़ जिला में पड़ता है.,यह दक्षिण कन्नड़ जिले में पड़ता है.
इनके पूर्वज की भूमि पंजाब थी.,इनके पूर्वजों की भूमि पंजाब थी.
"कालिंजर दुर्ग, भारतीय राज्य उत्तर प्रदेश के बांदा जिला में स्थित एक दुर्ग है.","कालिंजर दुर्ग, भारतीय राज्य उत्तर प्रदेश के बांदा जिले में स्थित एक दुर्ग है."
मेगालोडोन के जीवाश्म से साक्ष्य मिलते हैं कि इसकी खुराक मे बड़े समुद्री जानवरों शामिल थे.,मेगालोडोन के जीवाश्म से साक्ष्य मिलते हैं कि इसकी खुराक मे बड़े समुद्री जानवर शामिल थे.
मानसा पंजाब के मानसा जिला का मुख्यालय है.,मानसा पंजाब के मानसा जिले का मुख्यालय है.
 उत्तर प्रदेश के आजमगढ़ जिला का मुख्यालय है., उत्तर प्रदेश के आजमगढ़ जिले का मुख्यालय है.
कोटद्वार उत्तराखण्ड राज्य के पौड़ी जिला का एक मुख्य नगर है.,कोटद्वार उत्तराखण्ड राज्य के पौड़ी जिले का एक मुख्य नगर है.
"बादामी, जिसका पूर्व नाम था वातापी, कर्नाटक राज्य के बागलकोट जिला का एक तालुका है.","बादामी, जिसका पूर्व नाम था वातापी, कर्नाटक राज्य के बागलकोट जिले का एक तालुक है."
"इनमें हेपेटोबिलियरी, न्युरोवैस्कुलर तथा वैस्कुलर इन्टरवेंशन अहम् है तथा यह विभाग कई अहम शोध कार्य में संलग्न है.","इनमें हेपेटोबिलियरी, न्युरोवैस्कुलर तथा वैस्कुलर इन्टरवेंशन अहम् है तथा यह विभाग कई अहम शोध कार्यों में संलग्न है."
निम्नलिखित देशों अंतरराष्ट्रीय जल सर्वेक्षण संगठन के सदस्य हैं.,निम्नलिखित देश अंतरराष्ट्रीय जल सर्वेक्षण संगठन के सदस्य हैं.
यह एक गोरखा इंफेंट्री रेजिमेंट है जिसमें नेपाली मूल के गोरखा सैनिकों शामिल हैं.,यह एक गोरखा इंफेंट्री रेजिमेंट है जिसमें नेपाली मूल के गोरखा सैनिक शामिल हैं.
"नाइट्रोजन आक्साइड , नॉक्स  ईँधन जैसे डीजल या कोयला के दहन से प्रदूषित धुएँ का मुख्य अवयव है.","नाइट्रोजन आक्साइड , नॉक्स  ईँधन जैसे डीजल या कोयले के दहन से प्रदूषित धुएँ का मुख्य अवयव है."
२०११ में भारत का इंग्लैंड दौरे.,२०११ में भारत का इंग्लैंड दौरा.
२०११ में वेस्टइंडीज का भारत दौरे.,२०११ में वेस्टइंडीज का भारत दौरा.
उन्होंने वर्ष 1920 में 21 दिन में हिन्दी के प्रथम एवं सर्वोत्कृष्ट राष्ट्रीय खण्डकाव्य पथिक की रचना की.,उन्होंने वर्ष 1920 में 21 दिनों में हिन्दी के प्रथम एवं सर्वोत्कृष्ट राष्ट्रीय खण्डकाव्य पथिक की रचना की.
विश्व स्वास्थ्य संगठन के अनुसार प्रोबायोटिक वे जीवित सूक्ष्मजीव होते हैं जिसका सेवन करने पर मानव शरीर में जरूरी तत्वों सुनिश्चित हो जाते हैं.,विश्व स्वास्थ्य संगठन के अनुसार प्रोबायोटिक वे जीवित सूक्ष्मजीव होते हैं जिसका सेवन करने पर मानव शरीर में जरूरी तत्व सुनिश्चित हो जाते हैं.
"केरल के कोल्लम जिला के पेरिनाट नामक गाँव में ८ अक्टूबर, १९२४ में उनका जन्म हुआ था.","केरल के कोल्लम जिले के पेरिनाट नामक गाँव में ८ अक्टूबर, १९२४ में उनका जन्म हुआ था."
दांतों की जड़ें मसूड़ों से ढ़की होतीं हैं.,दांत की जड़ें मसूड़ों से ढ़की होतीं हैं.
"जैन दर्शन, बौद्ध दर्शन और चार्वाक दर्शन वेदों को अस्वीकार करते हैं.","जैन दर्शन, बौद्ध दर्शन और चार्वाक दर्शन वेद को अस्वीकार करते हैं."
"जैन दर्शन, बौद्ध दर्शन और चार्वाक दर्शन वेद को अस्वीकार करते हैं.","जैन दर्शन, बौद्ध दर्शन और चार्वाक दर्शन वेदों को अस्वीकार करते हैं."
पौधों में पराग कणों का नर भाग से मादा भाग पर स्थानातरण परागण कहलाता है.,पौधों में पराग कण का नर भाग से मादा भाग पर स्थानातरण परागण कहलाता है.
"ये शहर सहस्रों वर्षों से भारत का, विशेषकर उत्तर भारत का सांस्कृतिक एवं धार्मिक केन्द्र रहा है.","ये शहर सहस्रों वर्ष से भारत का, विशेषकर उत्तर भारत का सांस्कृतिक एवं धार्मिक केन्द्र रहा है."
इसके पुस्तकालय में सभी धर्मों से संबंधित ३३००० से अधिक पुस्तकें और पत्रिकाओं का विशाल संग्रह है.,इसके पुस्तकालय में सभी धर्मों से संबंधित ३३००० से अधिक पुस्तकों और पत्रिकाओं का विशाल संग्रह है.
कोत्रिकोदु भारतीय राज्य तमिलनाडू के कन्या कुमारी जिले के अंतर्गत स्थित एक थाना है.,कोत्रिकोदु भारतीय राज्य तमिलनाडू के कन्या कुमारी जिला के अंतर्गत स्थित एक थाना है.
गजेन्द्रगढ़ दक्षिण भारत के कर्नाटक राज्य में उत्तरी भाग के गडग जिला के रॉन तालुक में एक छोटा कस्बा है.,गजेन्द्रगढ़ दक्षिण भारत के कर्नाटक राज्य में उत्तरी भाग के गडग जिले के रॉन तालुक में एक छोटा कस्बा है.
सादाबाद तहसील के मंदौर ग्राम के पास यह आगरा जिला में प्रवेश करती है.,सादाबाद तहसील के मंदौर ग्राम के पास यह आगरा जिले में प्रवेश करती है.
गलगनाथ कर्नाटक के हवेरी जिला में स्थित एक छोटा सा ग्राम है.,गलगनाथ कर्नाटक के हवेरी जिले में स्थित एक छोटा सा ग्राम है.
यह सिलसिला लगभग दो तीन वर्ष तक चलता रहा.,यह सिलसिला लगभग दो तीन वर्षों तक चलता रहा.
रघुराजपुर ओड़िसा के पुरी जिले का विरासत हस्तशिल्प ग्राम है.,रघुराजपुर ओड़िसा के पुरी जिला का विरासत हस्तशिल्प ग्राम है.
"प्रतापगढ़, क्षेत्रफल में भारत के सबसे बड़े राज्य राजस्थान के ३३वें जिले प्रतापगढ़ जिला का मुख्यालय है.","प्रतापगढ़, क्षेत्रफल में भारत के सबसे बड़े राज्य राजस्थान के ३३वें जिले प्रतापगढ़ जिले का मुख्यालय है."
सर्ग का समापन सुजाता द्वारा गर्भ धारण करने और दम्पती द्वारा आनन्दित होने की घटना के साथ होता है.,सर्ग का समापन सुजाता द्वारा गर्भ धारण करने और दम्पती द्वारा आनन्दित होने की घटनाओं के साथ होता है.
मालवन के नाम की उत्पत्ति से संबंधित कई मनगढ़ंत और कुछ विश्वास योग्य कहानियों प्रचलित हैं.,मालवन के नाम की उत्पत्ति से संबंधित कई मनगढ़ंत और कुछ विश्वास योग्य कहानियां प्रचलित हैं.
मध्यकालीन इतिहास अंतरगत कलाल शीर्षक का प्रयोग पाकिस्तान के कलाल प्रांत से ताल्लुक रखने वाले लोग के संदर्भ में किया जाता है.,मध्यकालीन इतिहास अंतरगत कलाल शीर्षक का प्रयोग पाकिस्तान के कलाल प्रांत से ताल्लुक रखने वाले लोगों के संदर्भ में किया जाता है.
अद्भूतानन्द का जन्म बिहार के छपरा जिले मेँ एक गरीव परिवार मेँ हुआ.,अद्भूतानन्द का जन्म बिहार के छपरा जिला मेँ एक गरीव परिवार मेँ हुआ.
नशे के प्रति लोग में जागरूकता का प्रयास.,नशे के प्रति लोगों में जागरूकता का प्रयास.
वह ३२ स्थान की विजेता भारतीय जनता पार्टी के बाद सबसे बड़ी पार्टी के रूप में उभरी.,वह ३२ स्थानों की विजेता भारतीय जनता पार्टी के बाद सबसे बड़ी पार्टी के रूप में उभरी.
कोनिया क्षेत्र संत रविदास नगर जिले के अंतर्गत आता है.,कोनिया क्षेत्र संत रविदास नगर जिला के अंतर्गत आता है.
इस गाव के लोगों की शिक्षा के क्षेत्र में शिक्षित बहुत कम ही लोगों हैं.,इस गाव के लोगों की शिक्षा के क्षेत्र में शिक्षित बहुत कम ही लोग हैं.
शुक्र के पारगमन दुर्लभतम् पूर्वानुमानित खगोलीय घटना में से हैं.,शुक्र के पारगमन दुर्लभतम् पूर्वानुमानित खगोलीय घटनाओं में से हैं.
यहाँ तिग्रीन्या भाषा बोलने वाले तिग्रे लोगों बहुसंख्या में हैं.,यहाँ तिग्रीन्या भाषा बोलने वाले तिग्रे लोग बहुसंख्या में हैं.
"वणी महाराष्ट्र राज्य के यवतमाल जिले में स्थित शहर है,.","वणी महाराष्ट्र राज्य के यवतमाल जिला में स्थित शहर है,."
उन्होंने लगभग 1500 शोध पत्र और 45 वैज्ञानिक पुस्तकों लिखी हैं.,उन्होंने लगभग 1500 शोध पत्र और 45 वैज्ञानिक पुस्तकें लिखी हैं.
कलकत्ता के विश्वविद्यालय महिला को शिक्षा के लिए स्वीकार करने वाला पहला विश्वविद्यालय था.,कलकत्ता के विश्वविद्यालय महिलाओं को शिक्षा के लिए स्वीकार करने वाला पहला विश्वविद्यालय था.
इस लेख मैं हम भारत के कुछ राज्य के विवाह के बारे में चर्चा करेंगे.,इस लेख में हम भारत के कुछ राज्यों के विवाह के बारे में चर्चा करेंगे.
"सीएसए के परियोजन क्षेत्रों राजेंद्र नगर, एलआर नगर और अंबेडकर नगर मे हैं.","सीएसए के परियोजन क्षेत्र राजेंद्र नगर, एलआर नगर और अंबेडकर नगर मे हैं."
उत्पत्ति के आधार पर संसाधन का वर्गीकरण.,उत्पत्ति के आधार पर संसाधनों का वर्गीकरण.
"विशेष रूप से प्राकृतिक संसाधनों, जलवायु परिवर्तन और जैव विविधता.","विशेष रूप से प्राकृतिक संसाधन, जलवायु परिवर्तन और जैव विविधता."
इनका जन्म उत्तर प्रदेश के प्रतापगढ़ जिला में मल्हूपुर गाँव में हुआ था.,इनका जन्म उत्तर प्रदेश के प्रतापगढ़ जिले में मल्हूपुर गाँव में हुआ था.
उन्होंने संस्कृत में आयुर्वेदिक औषधियों और जड़ी बूटी के ज्ञान में निपुणता प्राप्त की और इसका प्रचार प्रसार किया.,उन्होंने संस्कृत में आयुर्वेदिक औषधियों और जड़ी बूटियों के ज्ञान में निपुणता प्राप्त की और इसका प्रचार प्रसार किया.
इसकी लोकप्रियता को देखते हुए इसे अन्य भारतीय भाषा में अनुवादित किया गया है.,इसकी लोकप्रियता को देखते हुए इसे अन्य भारतीय भाषाओं में अनुवादित किया गया है.
"बाहुबली के गाने हिन्दी, तेलुगू और तमिल भाषा में बने हैं.","बाहुबली के गाने हिन्दी, तेलुगू और तमिल भाषाओं में बने हैं."
""" बालोतरा "" राजस्थान राज्य के बाड़मेर जिला का एक शहर है.",""" बालोतरा "" राजस्थान राज्य के बाड़मेर जिले का एक शहर है."
और होल्गर बेच निएल्सेन के साथ में स्वतंत्र रूप से कणों वास्तव में एक आपेक्षिकीय सिट्रंग की.,और होल्गर बेच निएल्सेन के साथ में स्वतंत्र रूप से कण वास्तव में एक आपेक्षिकीय सिट्रंग की.
प्रोद्दटूरू आंध्र प्रदेश राज्य के कडपा जिले में एक शहर है.,प्रोद्दटूरू आंध्र प्रदेश राज्य के कडपा जिला में एक शहर है.
वर्तमान में नेल्लोर और चितूर के कुछ हिस्सों वेंकटगिरी राजों के हाथों में थे.,वर्तमान में नेल्लोर और चितूर के कुछ हिस्से वेंकटगिरी राजों के हाथों में थे.
"यह लगभग 76 लाख लोग द्वारा बोली जाती है, अर्थात दक्षिण अफ़्रिका की आबादी के लगभग 18 लोग द्वारा.","यह लगभग 76 लाख लोगों द्वारा बोली जाती है, अर्थात दक्षिण अफ़्रिका की आबादी के लगभग 18 लोग द्वारा."
एक कोशिकाओं से दूसरे कोशिका को सूचना का आदान प्रदान विधुत स्पंद द्वारा दिया जाता है.,एक कोशिका से दूसरे कोशिका को सूचना का आदान प्रदान विधुत स्पंद द्वारा दिया जाता है.
"जी एस शिवरुद्रप्पा का जनम कर्नाटक के शिवमोगा जिले में, इस्सुर् ग्राम , शिकारीपुरा तालुक में ७ फ़रवरी १९२६ को हुआ था.","जी एस शिवरुद्रप्पा का जनम कर्नाटक के शिवमोगा जिला में, इस्सुर् ग्राम , शिकारीपुरा तालुक में ७ फ़रवरी १९२६ को हुआ था."
दिबियापुर भारत में सबसे अधिक आबादी वाले राज्य उत्तर प्रदेश में औरैया जिले का एक नगर और एक नगर पंचायत है.,दिबियापुर भारत में सबसे अधिक आबादी वाले राज्य उत्तर प्रदेश में औरैया जिला का एक नगर और एक नगर पंचायत है.
जिला का क्षेत्रफल २४६४ है.,जिले का क्षेत्रफल २४६४ है.
तीन प्रमुख घटक या नई आर्थिक नीति के तत्वों.,तीन प्रमुख घटक या नई आर्थिक नीति के तत्व.
गांव के लोग बहुत ही धार्मिक और वेदों में पूर्ण विस्वास रखते है.,गांव के लोग बहुत ही धार्मिक और वेद में पूर्ण विस्वास रखते है.
"3 जून तक पुलिस ने 368 लोग को गिरफ्तार किया जिनमें से 120 पर "" गड़बड़ी पैदा "" का आरोप लगाया गया.","3 जून तक पुलिस ने 368 लोगों को गिरफ्तार किया जिनमें से 120 पर "" गड़बड़ी पैदा "" का आरोप लगाया गया."
"यह सिवनी जिले का एक मात्र पशु आहार संयंत्र है, जो साँची दुग्ध शीत केन्द्र के साथ यहाँ स्थापित है.","यह सिवनी जिला का एक मात्र पशु आहार संयंत्र है, जो साँची दुग्ध शीत केन्द्र के साथ यहाँ स्थापित है."
मन्दिर समिति की देख रेख में यहां पर महा शिवरात्रि के दौरान भव्य मेले का आयोजन किया जाता है.,मन्दिर समिति की देख रेख में यहां पर महा शिवरात्रि के दौरान भव्य मेला का आयोजन किया जाता है.
पूर्व मेँ चम्बल नदी के सामान्तर बहती हुई भिण्ड जिला की लहार तहसील के निकट सिन्ध नदी से मिल जाती हैँ,पूर्व मेँ चम्बल नदी के सामान्तर बहती हुई भिण्ड जिले की लहार तहसील के निकट सिन्ध नदी से मिल जाती हैँ
इसे भू स्थिर कक्षा में उपग्रहों और भारतीय अंतरिक्ष यात्री को प्रक्षेपित करने के लिये विकसित किया गया है.,इसे भू स्थिर कक्षा में उपग्रहों और भारतीय अंतरिक्ष यात्रियों को प्रक्षेपित करने के लिये विकसित किया गया है.
इस जनजाति के सदस्यों अंजव और लोहित जिलों में स्थित हैं.,इस जनजाति के सदस्य अंजव और लोहित जिलों में स्थित हैं.
28 अक्टूबर 1976 को इस जिले का विभाजन पूर्व खासी हिल्स जिला और पश्चिम खासी हिल्स जिला के रूप में कर दिया गया.,28 अक्टूबर 1976 को इस जिले का विभाजन पूर्वी खासी हिल्स जिला और पश्चिमी खासी हिल्स जिले के रूप में कर दिया गया.
यह हावड़ा जिला में हुगली नदी के पश्चिमी किनारे पर स्थित है.,यह हावड़ा जिले में हुगली नदी के पश्चिमी किनारे पर स्थित है.
और यह नियम हर एक वस्तुओं पर लागु होता है.,और यह नियम हर एक वस्तु पर लागु होता है.
आईएसआईएस ने इस आत्मघाती हमला की जिम्मेदारी ली.,आईएसआईएस ने इस आत्मघाती हमले की जिम्मेदारी ली.
दुनिया के विविध भाग से तीन सौ से ज्यादा लेखक केरला साहित्योत्सव 2017 के भाग थे.,दुनिया के विविध भागों से तीन सौ से ज्यादा लेखक केरला साहित्योत्सव 2017 के भाग थे.
छपरा से ११ किलोमीटर दक्षिण पूर्व में डोरीगंज बाजार के निकट स्थित चिरांद सारण जिले का सबसे महत्वपूर्ण पुरातत्व स्थल है.,छपरा से ११ किलोमीटर दक्षिण पूर्व में डोरीगंज बाजार के निकट स्थित चिरांद सारण जिला का सबसे महत्वपूर्ण पुरातत्व स्थल है.
"२००७ में, जवाहरलाल नेहरू विश्वविद्यालय के वार्षिक कैलेंडर में उनकी पक्षी की तस्वीरों को चित्रित किया गया था.","२००७ में, जवाहरलाल नेहरू विश्वविद्यालय के वार्षिक कैलेंडर में उनकी पक्षियों की तस्वीरों को चित्रित किया गया था."
उड़ीसा के लोगों उन्हें माँ कहते थे.,उड़ीसा के लोग उन्हें माँ कहते थे.
ये बस गुजरात के बनासकांठा जिला की थी.,वो बस गुजरात के बनासकांठा जिले की थी.
मेरा जन्म तो मंगलुरु मे हुईं,मेरा जन्म तो मंगलुरु मे हुईं
"हॉ यह भी बतादें, दुधारु पशु के गर्भाधान न हो सकने पर नङारधण देवता से मनौती मॉगी जाती है.","हॉ यह भी बतादें, दुधारु पशुओं के गर्भाधान न हो सकने पर नङारधण देवता से मनौती मॉगी जाती है."
रखाइन राज्य पर बर्मी क़ब्ज़े के बाद अत्याचार के माहौल से तंग आ कर बड़ी संख्या में रोहिंग्या लोगों थाईलैंड में शरणार्थी हो गए.,रखाइन राज्य पर बर्मी क़ब्ज़े के बाद अत्याचार के माहौल से तंग आ कर बड़ी संख्या में रोहिंग्या लोग थाईलैंड में शरणार्थी हो गए.
"रोहिंग्या लोगों आम तौर पर मुसलमान होते हैं, लेकिन अल्पसंख्या में कुछ रोहिंग्या हिन्दू भी होते हैं.","रोहिंग्या लोग आम तौर पर मुसलमान होते हैं, लेकिन अल्पसंख्या में कुछ रोहिंग्या हिन्दू भी होते हैं."
युनाइटेड नेशंज़ के मुताबिक़ रोहिंग्या लोगों दुनिया के सब से उत्पीड़ित अल्पसंख्यक समूहों में से एक है.,युनाइटेड नेशंज़ के मुताबिक़ रोहिंग्या लोग दुनिया के सब से उत्पीड़ित अल्पसंख्यक समूहों में से एक है.
बीड जिला के पटोदा तालुक में बालागत पठार के उत्तर पश्चिम के शीर्ष पर चिंचोल पहाड़ी में सिंधफन वृद्धि होती है.,बीड जिले के पटोदा तालुक में बालागत पठार के उत्तर पश्चिम के शीर्ष पर चिंचोल पहाड़ी में सिंधफन वृद्धि होती है.
"युद्ध के सिद्धांत विकसित अवधारण, कानून, नियमों और विधियाँ है.","युद्ध के सिद्धांत विकसित अवधारण, कानून, नियम और विधियाँ है."
विधानसभा भाषाओं और निम्न स्तरीय भाषाओं जैसे बीसीपीएल में आम तौर पर सरणियों के लिए कोई वाक्यविन्यास समर्थन नहीं होता है.,विधानसभा भाषाओं और निम्न स्तरीय भाषा जैसे बीसीपीएल में आम तौर पर सरणियों के लिए कोई वाक्यविन्यास समर्थन नहीं होता है.
हमले तब हुआ जब हुआ चर्च में 400 से अधिक ईसाई लोग रविवार प्रार्थना कर रहे हैं थे.,हमला तब हुआ जब हुआ चर्च में 400 से अधिक ईसाई लोग रविवार प्रार्थना कर रहे हैं थे.
बिसौरी उत्तरी भारत में जौनपुर जिले का एक गांव है जिसकी आबादी लगभग 1000 है.,बिसौरी उत्तरी भारत में जौनपुर जिला का एक गांव है जिसकी आबादी लगभग 1000 है.
"सपना ने नानू की जानू, भांगओवर और वीरे की वेडिंग जैसी कुछ बॉलीवुड फिल्मों में आइटम सॉंग भी किया है.","सपना ने नानू की जानू, भांगओवर और वीरे की वेडिंग जैसी कुछ बॉलीवुड फिल्म में आइटम सॉंग भी किया है."
